#########返回字段说明
|名称|描述|类型|
|----|----|---|
|fu_id|主键ID|long|
|fu_nd|唯一标识符|String|
|ui_tel|用户手机号码|String|
|ui_id|平台用户ID|long|
|ui_nd|平台用户唯一标识符|String|
|name|用户真实姓名|String|
|sfz_number|用户真实身份证号码|String|
|sfz_img_url|用户身份证图片|String|
|fingerprint|用户指纹特征信息|String|
|bank_card_number|用户银行卡卡号|String|
|bank_type|银行类型（0：建行银行）|int|
|orderid|签约验证支付订单号(user_pay表订单号)|String|
|verify_sign|是否签约支付验证成功0：未验证1：成功2：失败|int|
|state|有效状态(0：无效1：有效)|int|
|is_del|是否删除0:没有1：删除|int|
|ctime|创建时间|java.util.Date|
|utime|修改时间|java.util.Date|
|mac|采集数据提交设备MAC|String|
|gather_id|采集数据提交设备基本信息表主键ID|long|
|is_sign|是否签约成功（0：没有签约1：签约成功2：签约失败3：解除签约）|int|
|sign_ip|签约地IP|String|
|signtime|签约时间|java.util.Date|
|discard_time|解除签约时间|java.util.Date|
|is_default|是否是默认ETC支付卡0:不是1：是|int|
|note|备注|String|
|car_code|车牌号|String|
|finger_veno|用户指静脉特征信息|String|
|fingerprint_hash|用户指纹图片hashcode|String|
|finger_veno_hash|用户指静脉图片hashcode|String|

