#########返回字段说明
|名称|描述|类型|
|----|----|---|
|id|主键ID|long|
|pu_id|商户ID|long|
|pi_id|停车场ID|long|
|area_code|地址编号|String|
|car_code|车牌号|String|
|money|该次缴纳费用(单位分)|long|
|car_type|车牌类型0：未知车牌:、1：蓝牌小汽车、2：:黑牌小汽车、3：单排黄牌、4：双排黄牌、5：警车车牌、6：武警车牌、7：个性化车牌、8：单排军车牌、9：双排军车牌、10：使馆车牌、11：香港进出中国大陆车牌、12：农用车牌、13：教练车牌、14：澳门进出中国大陆车牌、15：双层武警车牌、16：武警总队车牌、17：双层武警总队车牌|int|
|car_code_color|车牌颜色0：未知、1：蓝色、2：黄色、3：白色、4：黑色、5：绿色|int|
|car_color|车辆颜色BLUE("蓝色",1),YELLOW("黄色",2),WHITE("白色",3),BLACK("黑色",4),GREEN("绿色",5)|int|
|start_time_str|开始包月时间(2017-03-22:10:00:00)|String|
|end_time_str|包月到期时间(2017-03-22:10:00:00)|String|
|type|类型(0:包月车辆1:免费车辆)|int|
|ctime|创建时间|java.util.Date|
|utime|更新时间|java.util.Date|
|note|备注|String|

