#########返回字段说明
|名称|描述|类型|
|----|----|---|
|pi_id|主键ID|long|
|area_code|省市县编号|String|
|pi_name|场地名称|String|
|address_name|场地地理位置名称|String|
|lng|场地经度|double|
|lat|场地纬度|double|
|linkman_name|场地联系人姓名|String|
|linkman_tel|场地联系人手机|String|
|copy_linkman_name|备用联系人姓名|String|
|copy_linkman_tel|备用联系人手机|String|
|pi_phone|场地座机号|String|
|department|负责单位|String|
|enter_num|场地口入数量|int|
|exit_num|场地出口数量|int|
|hlc_enter_num|场地入口道闸数量|int|
|hlc_exit_num|场地出口道闸数|int|
|enter_camera_num|场地入口摄像头数|int|
|exit_camera_num|场地出口摄像头数|int|
|camera_info|场地摄像头型号|String|
|ctime||java.util.Date|
|utime||java.util.Date|
|park_type|停车场类型0：道闸停车场1：占道车场2：露天立体车库停车场|int|
|is_expect|是否开启预约0:不开启1：开启|int|
|expect_money|每小时预约费用（单位分）|int|
|allow_revoke_time|允许预约撤单时间(单位分钟)|int|
|allow_expect_time|允许预约时间最大时长(单位分钟)|int|
|timeout_info|计费信息首停2小时5元，之后每小时2元|String|
|rent_info|租赁计费信息准入时段18:00-08:00，300元/月|String|
|month_price|租赁包月价格|int|
|is_rent|是否开启租赁0:未开启1：已经开启|int|
|money|蓝牌小汽车起步价|int|
|loginname|露天停车场帐号|String|
|password|露天停车场密码|String|
|mac|露天停车场PDAMAC（逗号分割）|String|
|is_fault|停车场故障0:无故障1：发生故障|int|
|pi_state|停车场状态（1开启0关闭）|int|
|roadside_type|占道停车是否按次数收费0:按时间收费1：按次数收费|int|
|pu_id|关联的商户主键ID|long|
|pu_nd|商户ND（商户编号）|String|
|note|备注|String|
|carport_yet|临停已停车位|int|
|carport_space|临停空车位个数|int|
|carport_total|临停总车位个数|int|
|moth_car_num|租赁离线包月车位总个数|int|
|moth_car_num_space|租赁离线剩余车位数|int|
|time_car_num|时间段包月车位总数|int|
|time_car_num_space|时间段包月车位剩余个数|int|
|expect_car_num|已预约车位数|int|
|upload_source|上传数据来源0:离线道闸上传1：中心管理后台录入2：Android市场人员跑动录入|int|
|admin_id|上传数据后台管理账户ID|long|
|pda_permit_time|PDA停车场上班时间-下班时间(8:00-21:00)|String|
|special_ip|道闸专线静态IP|String|
|token|授权token|String|
|hardware_type|具有哪些硬件类型（0：未知1：地磁2：地磁+蓝牙车位）|int|
|relet_state|线上续租（0：关闭1：开启）|int|
|ack_time|停车场正式开启时间(例如：年月日时分秒2017-09-1918:56:00)|String|

