#########返回字段说明
|名称|描述|类型|
|----|----|---|
|pu_id||long|
|nd|商户编号|String|
|name|PDA老板姓名|String|
|tel|PDA老板手机号码|String|
|bank_no|PDA老板银行卡卡号|String|
|bank_name|PDA老板开户行名称|String|
|bank_sub_name|PDA老板开户行支行名称|String|
|pda_num|PDA老板拥有的PDA个数|int|
|money|商户平台总金额（单位分）|int|
|ctime|创建时间|java.util.Date|
|utime|更新时间|java.util.Date|
|loginname|账号|String|
|password|密码|String|
|note|备注|String|
|money_online|线上累计金额|long|
|money_offline|线下累计金额|long|
|kickback|打款百分比|double|
|privilege_id|商户系统菜单权限映射ID|int|
|error_count|登录错误次数|int|
|error_date|登录错误发生的日期例如2017-08-07|String|
|clearing_type|结算方案(0：不结算1：全额结算2：按基数结算)|int|
|clearing_percentage|结算比例|double|
|clearing_base|结算基数(整数单位分)|int|

