#########返回字段说明
|名称|描述|类型|
|----|----|---|
|pooc_id|主键ID|long|
|pooc_nd|ND|String|
|car_code|车牌号|String|
|order_id|欠费订单ID|String|
|old_pi_id|原欠费订单停车场ID|long|
|old_area_code|原欠费订单停车场区域编码|String|
|old_pu_id|原欠费订单所属商户ID|long|
|old_pu_nd|原欠费订单所属商户ND|String|
|old_mac|原PDA欠费设备唯一标识符MAC|String|
|now_pi_id|PDA补交费用所在停车场ID|long|
|now_area_code|PDA补交费用停车场区域编码|String|
|now_pu_id|PDA补交费用所属商户ID|long|
|now_pu_nd|PDA补交费用所属商户ND(商户编号)|String|
|now_mac|PDA补交设备唯一标识MAC|String|
|money|PDA补交费用(单位分)|long|
|ctime|创建时间|java.util.Date|
|utime|更新时间|java.util.Date|
|state|补交是否完成（0：未完成1：完成）|int|
|old_ui_id|原欠费订单所属用户主键ID|long|
|old_uuid|原欠费订单所属用户ND|String|
|now_ui_id|当前补交欠费用户主键ID|long|
|now_uuid|当前补交欠费用户ND|String|
|note|备注|String|
|pay_source|支付类型0：现金支付1:支付宝2：微信3：银联4：钱包5:龙支付6:ETC快捷支付7：扫脸支付8：指纹支付9：指静脉支付|int|

