#########返回字段说明
|名称|描述|类型|
|----|----|---|
|rcl_id|主键ID|long|
|nd|唯一标识符ND|String|
|car_code|车牌号|String|
|money|减免金额|int|
|upc_id|返券主键ID|long|
|type|减免类型(1：返券2：随机减免)|int|
|pi_id|停车场主键ID|long|
|pi_name|停车场名称|String|
|area_code|停车场地区区域编码|String|
|orderid|对应的订单ID|String|
|order_type|订单类型(0:临停1：租赁)|int|
|partner|合作商家(例如：建行龙支付)|String|
|ctime|创建时间|java.util.Date|
|note|备注|String|
|ai_id|活动主键ID(外键-活动基本信息表主键ID)|long|
|ui_id|用户ID|long|
|ui_nd|用户唯一标识|String|
|ae_id|事件表主键ID|long|
|send_unit|赠送单位(0:吾泊平台1：龙支付)|int|
|act_type|事件行为（1：充值2：支付）|int|
|pay_source|支付类型1:支付宝2：微信3：银联4：钱包5:龙支付|int|

