#########返回字段说明
|名称|描述|类型|
|----|----|---|
|upcl_id|主键ID|long|
|upc_id|主键ID|long|
|ui_id|主键ID|long|
|ui_nd|用户唯一标识符|String|
|pc_id|停车优惠券表主键ID|long|
|money|优惠券金额（单位分）|int|
|discount|折扣券折数|double|
|high_money|最高抵扣金额（单位分）|int|
|upc_type|优惠券类型0:金额券1：折扣券|int|
|end_time|有效期|java.util.Date|
|upc_state|使用状态0：未使用1：已使用|int|
|ctime|创建时间|java.util.Date|
|utime|更新时间|java.util.Date|
|send_unit|赠送单位(0:吾泊平台1：龙支付)|int|
|ai_id|活动ID（活动表主键ID）|long|
|state|是否进行过过期前提醒推送（0：没有推送1：已经推送过了）|int|
|note|备注|String|
|type|记录类型（0：未指定1：用户停车使用2：用户扫码转赠3：系统赠送）|int|
|rtime|变更记录时间(该次变更的入库时间)|java.util.Date|
|accept_ui_id|转赠的代金券接受人用户ID|long|
|accept_ui_nd|转赠的代金券接受人用户ND|String|

